Identificador,Sexo,Edad,Carnet,Zona,AntiguedadVehiculo,SiniestroAnterior,PrimaMensualActual,AntiguedadCliente
351734,Female,23,1,Suroeste,0,No,138.89,10
351735,Female,67,1,Norte,2,Sí,467.56,22
351736,Female,22,1,Suroeste,0,Sí,239,13
351737,Male,47,1,Norte,2,No,144.3,18
351738,Female,22,1,Centro,1,No,145.6,9
351739,Male,60,1,Centro,8,Sí,30,8
351740,Male,57,1,Centro,2,Sí,222.58,25
351741,Female,57,1,Centro,3,Sí,240.41,17
351742,Desconocido,Desconocido,1,Noreste,4,No,190.43,18
351743,Desconocido,Desconocido,1,Centro,4,No,174.8,13
351744,Male,20,1,Centro,1,No,186.41,8
351745,Male,47,1,Noreste,4,Sí,76.89,8
351746,Desconocido,53,1,Noreste,4,Sí,30,2
351747,Male,45,1,Centro,4,Sí,30,4
351748,Male,29,1,Centro,0,No,197.67,17
351749,Female,54,1,Noreste,4,No,269.59,17
351750,Male,35,1,Suroeste,3,Sí,149.61,6
351751,Male,23,1,Suroeste,0,No,156.43,9
351752,Male,35,1,Suroeste,3,No,175.82,5
351753,Male,49,1,Norte,2,No,30,23
351754,Male,54,1,Norte,3,Sí,30,6
351755,Desconocido,54,1,Centro,4,Sí,224.66,21
351756,Male,63,1,Centro,5,Sí,313.16,5
351757,Male,34,1,Noreste,3,Sí,316.62,8
351758,Male,30,1,Suroeste,0,No,254.08,22
351759,Male,24,1,Noreste,1,No,169.93,21
351760,Female,30,1,Noreste,1,No,193.83,25
351761,Male,52,1,Centro,3,Sí,216.83,14
351762,Male,44,1,Centro,7,Sí,261.56,13
351763,Male,73,1,Norte,3,No,30,6
351764,Male,41,1,Suroeste,2,Sí,30,20
351765,Female,22,1,Centro,0,Sí,169.92,15
351766,Female,32,1,Centro,0,No,205.31,19
351767,Female,25,1,Centro,0,Sí,342.32,6
351768,Male,46,1,Noreste,2,Sí,271.18,6
351769,Male,48,1,Suroeste,2,No,139.51,17
351770,Female,73,1,Centro,2,Sí,493.81,15
351771,Desconocido,Desconocido,1,Centro,1,Sí,216.54,10
351772,Female,45,1,Centro,2,Sí,30,9
351773,Desconocido,Desconocido,1,Suroeste,1,No,233.9,17
351774,Male,39,1,Suroeste,3,Sí,283.91,13
351775,Male,54,1,Noreste,4,Sí,179.93,14
351776,Male,31,1,Norte,0,No,291.29,17
351777,Male,27,1,Suroeste,4,Sí,259.24,6
351778,Female,34,1,Noreste,2,No,159.09,24
351779,Female,55,1,Noreste,3,No,148.54,4
351780,Female,21,1,Centro,0,No,219.03,12
351781,Female,23,1,Suroeste,1,No,238.84,7
351782,Female,77,1,Centro,6,Sí,341.79,19
351783,Female,24,1,Suroeste,1,No,128.37,11
351784,Female,46,1,Centro,2,Sí,215.79,11
351785,Female,28,1,Suroeste,0,No,193.87,24
351786,Female,42,1,Centro,2,Sí,271.43,19
351787,Female,32,1,Centro,1,Sí,322.95,5
351788,Male,27,1,Noreste,2,No,208.13,12
351789,Female,42,1,Noreste,3,No,194.96,20
351790,Male,26,1,Suroeste,0,No,121.96,23
351791,Male,34,1,Centro,4,Sí,30,24
351792,Male,22,1,Centro,0,Sí,258.97,19
351793,Male,39,1,Suroeste,4,Sí,128.77,3
351794,Female,69,1,Centro,3,Sí,134.29,17
351795,Female,41,1,Centro,3,No,271.39,17
351796,Male,25,1,Suroeste,0,Sí,175.18,24
351797,Male,24,1,Suroeste,1,No,30,6
351798,Female,29,1,Centro,1,No,434.45,5
351799,Male,42,1,Noreste,3,Sí,30,10
351800,Male,25,1,Centro,0,No,284.59,24
351801,Female,21,1,Norte,0,Sí,306.67,10
351802,Female,20,1,Suroeste,0,No,143.11,2
351803,Male,42,1,Centro,3,Sí,210.4,8
351804,Male,61,1,Noreste,2,Sí,263.82,7
351805,Male,26,1,Noreste,1,No,223.28,17
351806,Male,21,1,Suroeste,1,No,155.6,8
351807,Desconocido,22,1,Noreste,1,Sí,315.09,25
351808,Male,34,1,Noreste,2,Sí,216.09,4
351809,Male,24,1,Centro,4,No,232.76,17
351810,Female,22,1,Suroeste,1,No,156.45,11
351811,Female,46,1,Norte,4,Sí,290.77,8
351812,Male,38,1,Centro,4,Sí,244.88,18
351813,Male,33,1,Centro,0,Sí,125.4,13
351814,Male,59,1,Noreste,3,Sí,268.62,22
351815,Male,31,1,Centro,3,Sí,30,23
351816,Desconocido,Desconocido,1,Noreste,1,No,260.74,14
351817,Male,57,1,Suroeste,4,No,30,14
351818,Female,71,1,Centro,2,No,173.99,4
351819,Female,50,1,Centro,4,Sí,294,23
351820,Female,28,1,Centro,0,No,134.22,6
351821,Male,25,1,Suroeste,1,Sí,198.23,11
351822,Male,56,1,Noreste,9+,Sí,460.17,6
351823,Male,28,1,Noreste,1,No,254.63,8
351824,Male,38,1,Norte,3,No,30,17
351825,Female,38,1,Centro,3,Sí,200.75,18
351826,Male,51,1,Noreste,3,Sí,229.21,12
351827,Female,33,1,Norte,1,No,293.3,25
351828,Female,22,1,Noreste,1,Sí,30,21
351829,Male,36,1,Centro,3,Sí,174.49,10
351830,Desconocido,43,1,Norte,4,Sí,30,20
351831,Male,54,1,Noreste,2,Sí,299.42,4
351832,Male,34,1,Centro,3,No,208.71,8
351833,Female,39,1,Centro,2,Sí,275.36,7
351834,Male,36,1,Centro,2,Sí,130.4,15
351835,Male,60,1,Centro,2,Sí,382.31,22
351836,Female,54,1,Centro,3,Sí,253.66,14
351837,Male,29,1,Noreste,0,No,200.56,6
351838,Female,45,1,Centro,2,Sí,269.81,13
351839,Female,21,1,Noreste,0,No,165.84,2
351840,Female,56,1,Noreste,3,Sí,30,22
351841,Male,47,1,Centro,2,No,240.68,5
351842,Male,48,1,Centro,5,Sí,294.29,24
351843,Female,78,1,Norte,8,Sí,353.76,7
351844,Female,23,1,Noreste,0,No,225.65,12
351845,Male,24,1,Suroeste,1,No,226.41,12
351846,Female,42,1,Suroeste,2,Sí,151.74,15
351847,Female,21,1,Suroeste,0,No,30,15
351848,Male,26,1,Noreste,0,No,185.02,23
351849,Female,23,1,Centro,1,Sí,227.38,14
351850,Female,26,1,Norte,0,No,30,11
351851,Male,39,1,Centro,2,Sí,105.63,13
351852,Male,25,1,Noreste,1,No,145.31,25
351853,Female,60,1,Norte,2,No,30,2
351854,Female,28,1,Centro,1,Sí,283.25,16
351855,Male,25,1,Centro,1,Sí,241.75,16
351856,Female,34,1,Norte,4,Sí,30,14
351857,Female,41,1,Norte,2,No,30,4
351858,Male,22,1,Suroeste,1,No,191.22,14
351859,Female,21,1,Centro,1,No,187.12,18
351860,Male,46,1,Norte,2,Sí,30,22
351861,Male,31,1,Centro,1,Sí,191.31,23
351862,Male,48,1,Noreste,3,Sí,258.9,13
351863,Male,24,1,Suroeste,0,No,187.49,5
351864,Male,42,1,Noreste,2,Sí,225.16,15
351865,Male,44,0,Centro,2,No,196.13,22
351866,Male,41,1,Suroeste,2,No,30,14
351867,Male,57,1,Norte,3,No,216.82,22
351868,Desconocido,Desconocido,1,Suroeste,1,Sí,270.79,22
351869,Male,31,1,Noreste,4,No,233.01,20
351870,Female,23,1,Suroeste,1,No,270.33,17
351871,Male,46,1,Centro,3,Sí,239.75,5
351872,Female,27,1,Norte,0,Sí,30,17
351873,Male,50,1,Centro,3,Sí,172.54,22
351874,Male,73,1,Suroeste,2,No,286.45,11
351875,Female,27,1,Norte,1,Sí,139.42,11
351876,Male,37,1,Centro,4,Sí,455.3,9
351877,Male,77,1,Noreste,3,Sí,181.44,22
351878,Female,43,1,Centro,2,Sí,235.78,9
351879,Male,58,1,Norte,2,No,30,25
351880,Female,48,1,Norte,3,Sí,30,20
351881,Female,21,1,Suroeste,1,No,30,10
351882,Female,79,1,Noreste,4,No,183.82,13
351883,Male,22,1,Suroeste,0,No,174.1,20
351884,Male,60,1,Suroeste,4,No,30,13
351885,Female,48,1,Noreste,4,No,153.63,22
351886,Female,20,1,Suroeste,3,Sí,30,4
351887,Male,26,1,Noreste,0,No,141.59,14
351888,Male,22,1,Suroeste,1,Sí,255.44,20
351889,Female,34,1,Centro,2,Sí,378.6,4
351890,Male,24,1,Centro,0,No,30,19
351891,Male,23,1,Suroeste,0,No,157.64,21
351892,Male,24,1,Suroeste,0,No,192.21,5
351893,Male,41,1,Centro,3,Sí,192.73,11
351894,Female,21,1,Centro,1,Sí,154.14,6
351895,Male,53,1,Noreste,2,Sí,217.2,11
351896,Female,33,1,Suroeste,1,No,183.05,19
351897,Male,38,1,Suroeste,2,No,175.09,17
351898,Female,59,1,Centro,3,No,30,21
351899,Female,24,1,Centro,0,No,30,2
351900,Male,41,1,Noreste,2,Sí,242.65,7
351901,Male,42,1,Centro,2,Sí,342.22,19
351902,Male,25,1,Noreste,0,Sí,146.96,10
351903,Male,52,1,Centro,6,Sí,249.85,7
351904,Male,23,1,Suroeste,0,No,168.97,23
351905,Male,53,1,Norte,3,No,188.27,16
351906,Male,23,1,Noreste,1,No,206.81,13
351907,Desconocido,Desconocido,1,Suroeste,4,Sí,149.14,5
351908,Male,54,1,Suroeste,2,Sí,201.93,10
351909,Male,31,1,Noreste,1,No,126.61,3
351910,Male,57,1,Centro,2,No,242.27,3
351911,Male,47,1,Noreste,3,No,125.11,7
351912,Desconocido,28,1,Suroeste,1,Sí,190.06,9
351913,Male,26,1,Noreste,1,No,111.35,12
351914,Desconocido,Desconocido,1,Noreste,4,Sí,202.86,2
351915,Female,53,1,Centro,3,No,30,22
351916,Female,26,1,Noreste,0,No,242.63,19
351917,Desconocido,30,1,Centro,1,Sí,266.8,3
351918,Male,25,1,Centro,0,No,108.77,4
351919,Male,21,1,Centro,0,No,30,15
351920,Male,31,1,Suroeste,0,Sí,30,22
351921,Female,78,1,Norte,3,No,30,10
351922,Desconocido,Desconocido,1,Suroeste,4,Sí,30,10
351923,Male,71,1,Centro,5,Sí,258.16,16
351924,Male,24,1,Norte,1,Sí,238.09,18
351925,Female,22,1,Centro,0,Sí,214.06,17
351926,Male,30,1,Suroeste,1,No,146.16,21
351927,Male,70,1,Suroeste,3,Sí,160.87,10
351928,Desconocido,Desconocido,1,Norte,1,No,30,15
351929,Male,40,1,Centro,4,No,363.4,5
351930,Female,31,1,Norte,4,No,248.62,7
351931,Female,44,1,Noreste,2,Sí,189.54,23
351932,Male,23,1,Centro,0,Sí,279.07,3
351933,Female,54,1,Centro,3,Sí,153.17,23
351934,Male,44,1,Centro,4,Sí,176.7,2
351935,Male,23,1,Noreste,1,No,419.61,18
351936,Male,39,1,Centro,3,Sí,212.73,17
351937,Male,40,1,Noreste,3,Sí,182.28,25
351938,Female,40,1,Suroeste,2,Sí,159.7,23
351939,Female,44,1,Noreste,2,Sí,272.85,12
351940,Male,69,1,Norte,3,Sí,30,10
351941,Male,36,1,Suroeste,4,Sí,188.59,22
351942,Male,48,1,Centro,3,Sí,226.5,2
351943,Male,61,1,Norte,3,Sí,190.61,5
351944,Desconocido,48,1,Noreste,4,No,337.16,4
351945,Female,23,1,Suroeste,1,No,158.98,15
351946,Male,26,1,Norte,1,No,281.1,22
351947,Desconocido,Desconocido,1,Noreste,4,No,231.35,24
351948,Male,27,1,Norte,1,Sí,30,21
351949,Male,23,1,Noreste,0,Sí,221.97,21
351950,Male,28,1,Suroeste,1,No,136.09,7
351951,Male,62,1,Centro,2,No,170.37,18
351952,Male,45,1,Suroeste,4,Sí,112.66,3
351953,Desconocido,Desconocido,1,Norte,1,No,243.32,15
351954,Desconocido,Desconocido,1,Suroeste,4,Sí,260.97,6
351955,Female,45,0,Centro,5,Sí,388.05,14
351956,Female,63,1,Norte,3,Sí,30,13
351957,Desconocido,44,1,Centro,4,No,313.5,19
351958,Female,23,1,Centro,0,Sí,259.77,21
351959,Female,48,1,Centro,2,No,296.36,17
351960,Male,35,1,Centro,2,Sí,237.88,9
351961,Male,52,1,Noreste,4,Sí,187.07,20
351962,Female,25,1,Suroeste,1,No,119.66,16
351963,Male,53,1,Centro,4,Sí,135.37,24
351964,Female,21,1,Centro,0,Sí,132.69,12
351965,Male,51,1,Noreste,4,Sí,156.72,17
351966,Desconocido,Desconocido,1,Noreste,1,No,237.71,4
351967,Male,31,1,Centro,0,No,274.91,7
351968,Female,23,1,Suroeste,1,No,235.02,12
351969,Female,54,1,Centro,2,Sí,317.56,22
351970,Female,24,1,Centro,1,No,30,16
351971,Female,25,1,Centro,1,No,332.69,13
351972,Male,44,1,Norte,4,Sí,30,20
351973,Female,68,1,Centro,3,Sí,121.19,7
351974,Male,50,1,Norte,2,No,301.7,22
351975,Female,24,1,Noreste,0,No,164.53,21
351976,Male,22,1,Noreste,1,No,259.69,22
351977,Female,30,1,Norte,1,No,168.58,3
351978,Female,33,1,Suroeste,0,No,171.64,6
351979,Female,31,1,Centro,0,No,129.1,5
351980,Female,70,1,Norte,3,Sí,206.72,8
351981,Female,41,1,Noreste,2,Sí,232.82,23
351982,Female,44,1,Centro,2,Sí,208.36,21
351983,Desconocido,Desconocido,1,Noreste,4,Sí,217.2,20
351984,Male,46,1,Centro,7,Sí,271.15,14
351985,Male,21,1,Norte,0,Sí,223.1,2
351986,Female,44,1,Centro,2,Sí,356.38,19
351987,Male,32,1,Noreste,0,No,177.1,9
351988,Female,31,1,Noreste,3,Sí,30,18
351989,Male,53,1,Norte,4,Sí,216.35,19
351990,Male,23,1,Noreste,1,No,137.26,16
351991,Male,32,1,Centro,1,Sí,352.8,12
351992,Female,40,1,Centro,3,No,168.07,25
351993,Male,25,1,Norte,0,Sí,272.45,20
351994,Female,21,1,Norte,0,No,228.97,11
351995,Male,60,1,Centro,5,Sí,230.51,20
351996,Female,24,1,Centro,0,Sí,73.54,19
351997,Female,26,1,Noreste,1,Sí,198.69,20
351998,Female,24,1,Suroeste,0,No,216.58,12
351999,Male,26,1,Centro,1,No,246.72,11
352000,Male,26,1,Centro,1,No,126.44,12
352001,Male,70,1,Noreste,2,Sí,239.5,21
352002,Female,57,1,Norte,3,Sí,204.77,23
352003,Male,64,1,Centro,2,Sí,409.94,15
352004,Female,40,1,Centro,2,Sí,257.58,25
352005,Male,47,1,Centro,4,Sí,293.71,9
352006,Male,38,1,Suroeste,3,Sí,203.15,19
352007,Female,24,1,Norte,0,Sí,114.46,24
352008,Male,49,1,Suroeste,2,No,30,19
352009,Desconocido,Desconocido,1,Noreste,1,No,30,15
352010,Female,33,1,Suroeste,1,No,317.79,18
352011,Male,39,1,Suroeste,3,Sí,193.66,21
352012,Male,24,1,Centro,0,No,174.25,23
352013,Female,23,1,Suroeste,0,No,180.06,22
352014,Female,20,1,Centro,0,No,378.53,6
352015,Female,28,1,Noreste,1,No,266.65,7
352016,Male,52,1,Centro,2,Sí,372.71,20
352017,Female,26,1,Suroeste,0,No,171.6,6
352018,Female,47,1,Centro,3,Sí,234.85,20
352019,Female,26,1,Suroeste,1,No,150.82,3
352020,Female,20,1,Norte,1,Sí,212.38,16
352021,Female,62,1,Centro,2,Sí,235.04,12
352022,Male,54,1,Centro,2,Sí,30,8
352023,Female,49,1,Centro,3,Sí,166.75,13
352024,Female,21,1,Centro,1,No,232.66,19
352025,Male,52,1,Suroeste,3,Sí,189.67,17
352026,Female,58,1,Centro,3,Sí,182.42,15
352027,Male,48,1,Noreste,3,Sí,193.93,4
352028,Female,23,1,Suroeste,0,No,136.51,13
352029,Female,57,1,Norte,4,Sí,191.69,14
352030,Desconocido,Desconocido,1,Suroeste,1,No,198.42,22
352031,Male,43,1,Centro,2,Sí,185.03,17
352032,Female,23,1,Noreste,0,No,188.1,11
352033,Female,39,1,Norte,2,No,169.96,25
352034,Male,54,1,Suroeste,2,No,162.47,22
352035,Male,40,1,Norte,4,Sí,30,2
352036,Male,24,1,Noreste,0,No,224.39,16
352037,Male,46,1,Centro,5,Sí,561.4,5
352038,Female,24,1,Suroeste,0,No,99.75,1
352039,Female,47,1,Norte,4,Sí,30,4
352040,Female,24,1,Suroeste,0,No,215.28,6
352041,Male,29,1,Noreste,2,Sí,200.91,10
352042,Female,51,1,Norte,3,Sí,30,9
352043,Male,24,1,Norte,0,No,266.92,10
352044,Male,23,1,Norte,1,No,176.88,3
352045,Female,44,1,Suroeste,2,Sí,225.99,20
352046,Female,23,1,Centro,0,No,249.84,25
352047,Female,45,1,Centro,2,Sí,241.02,12
352048,Female,22,1,Noreste,0,Sí,131.95,11
352049,Male,47,1,Centro,3,Sí,176.65,4
352050,Male,26,1,Centro,1,No,237.15,24
352051,Male,39,1,Suroeste,3,No,231.93,3
352052,Female,21,1,Noreste,0,Sí,158.38,15
352053,Male,21,1,Centro,0,Sí,190.73,15
352054,Female,26,1,Norte,0,Sí,105.48,17
352055,Male,34,1,Noreste,3,No,30,21
352056,Female,27,1,Centro,1,No,187.08,2
352057,Female,77,1,Centro,2,No,322.97,2
352058,Male,24,1,Noreste,0,No,296.78,4
352059,Male,51,1,Noreste,3,Sí,218.36,2
352060,Male,64,1,Suroeste,2,No,162.6,25
352061,Female,38,1,Suroeste,2,No,134.45,22
352062,Desconocido,Desconocido,1,Suroeste,1,No,199.1,21
352063,Male,53,1,Centro,2,Sí,418.21,8
352064,Female,25,1,Suroeste,0,No,164.65,23
352065,Male,45,1,Centro,3,Sí,224.74,13
352066,Desconocido,Desconocido,1,Suroeste,1,No,172.92,23
352067,Male,29,1,Centro,1,Sí,30,17
352068,Female,21,1,Centro,1,Sí,289.46,9
352069,Male,49,1,Noreste,3,Sí,131.89,8
352070,Male,44,1,Centro,3,Sí,244.66,8
352071,Female,43,1,Centro,4,Sí,431.28,19
352072,Female,24,1,Centro,0,No,30,7
352073,Male,23,1,Suroeste,1,No,150.49,10
352074,Female,32,1,Norte,1,No,197.57,2
352075,Male,48,1,Suroeste,3,Sí,303.74,3
352076,Male,36,1,Norte,3,Sí,30,20
352077,Female,25,1,Centro,1,No,228.98,22
352078,Male,23,1,Centro,1,No,30,19
352079,Male,25,1,Noreste,1,No,232.94,17
352080,Male,23,1,Noreste,1,No,412.83,13
352081,Male,46,1,Centro,3,Sí,203.91,7
352082,Female,21,1,Centro,1,No,102.54,18
352083,Male,49,1,Centro,2,Sí,277.64,7
352084,Female,21,1,Suroeste,0,No,118.26,7
352085,Female,28,1,Centro,1,No,191.79,3
352086,Female,50,1,Centro,3,No,286.3,15
352087,Desconocido,Desconocido,1,Suroeste,4,Sí,142.85,6
352088,Male,60,1,Centro,4,Sí,171.04,13
352089,Female,33,1,Noreste,0,Sí,226.35,3
352090,Male,22,1,Norte,1,No,30,7
352091,Male,49,1,Centro,3,Sí,163.75,15
352092,Male,59,1,Centro,3,Sí,230.58,23
352093,Male,22,1,Centro,1,Sí,174.1,4
352094,Male,21,1,Noreste,0,Sí,30,2
352095,Male,22,1,Suroeste,1,Sí,184.3,22
352096,Male,34,1,Centro,4,Sí,230.88,16
352097,Female,23,1,Suroeste,1,No,177.78,11
352098,Male,25,1,Suroeste,0,No,165.84,20
352099,Female,22,1,Centro,0,Sí,362.15,14
352100,Male,25,1,Noreste,1,No,291.69,17
352101,Female,66,1,Centro,2,Sí,30,16
352102,Female,43,1,Noreste,2,Sí,113.72,24
352103,Female,21,1,Norte,1,Sí,209.65,9
352104,Desconocido,Desconocido,1,Suroeste,1,Sí,261.06,24
352105,Female,23,1,Noreste,0,Sí,169.09,15
352106,Male,24,1,Centro,1,No,453.24,7
352107,Female,23,1,Norte,0,No,30,11
352108,Female,24,1,Suroeste,1,Sí,151.2,5
352109,Male,38,1,Centro,2,Sí,205.9,20
352110,Male,22,1,Noreste,0,No,168.1,25
352111,Male,31,1,Suroeste,4,Sí,255.17,3
352112,Male,50,1,Suroeste,4,Sí,155.15,9
352113,Female,32,1,Centro,0,Sí,386.67,22
352114,Female,51,1,Centro,3,No,220.37,25
352115,Female,29,1,Suroeste,0,No,154.52,19
352116,Male,47,1,Noreste,2,No,218.66,13
352117,Female,26,1,Noreste,4,Sí,30,13
352118,Male,42,1,Noreste,3,Sí,156.6,15
352119,Male,30,1,Centro,1,No,238.09,22
352120,Male,45,1,Centro,3,Sí,30,19
352121,Male,22,1,Centro,1,No,162.41,20
352122,Female,29,0,Norte,2,Sí,192,13
352123,Male,48,1,Suroeste,6,Sí,196.28,10
352124,Female,30,1,Centro,0,Sí,218.75,10
352125,Female,44,1,Noreste,3,No,30,25
352126,Female,22,1,Norte,1,No,30,24
352127,Female,72,1,Noreste,2,No,262.33,25
352128,Female,25,1,Noreste,1,No,127.58,25
352129,Desconocido,Desconocido,1,Noreste,4,Sí,30,24
352130,Female,32,1,Suroeste,0,No,30,12
352131,Female,49,1,Suroeste,3,Sí,262.67,7
352132,Male,43,1,Centro,4,No,151.99,12
352133,Female,48,1,Norte,2,Sí,30,14
352134,Male,33,1,Centro,2,Sí,208.17,20
352135,Female,75,1,Centro,2,No,240.98,4
352136,Male,57,1,Centro,9+,Sí,452.44,18
352137,Female,23,1,Noreste,1,No,149.19,21
352138,Male,31,1,Centro,1,Sí,30,17
352139,Male,24,1,Suroeste,0,No,184.12,20
352140,Female,39,1,Centro,3,No,352.66,6
352141,Female,29,1,Norte,0,No,235.31,10
352142,Female,66,1,Noreste,3,No,130.52,15
352143,Male,26,1,Suroeste,1,No,334.56,22
352144,Female,28,1,Suroeste,0,No,166.52,12
352145,Female,27,1,Norte,1,No,30,22
352146,Male,22,1,Noreste,0,No,172.88,22
352147,Male,36,1,Suroeste,3,No,163.85,7
352148,Male,68,1,Centro,4,No,30,23
352149,Male,70,1,Centro,7,Sí,30,5
352150,Male,20,1,Norte,0,No,30,2
352151,Female,25,1,Suroeste,0,Sí,30,18
352152,Female,52,1,Centro,2,No,152.28,2
352153,Male,46,1,Suroeste,2,No,212.78,14
352154,Female,43,1,Norte,2,No,195.38,20
352155,Male,50,1,Centro,3,No,30,13
352156,Male,49,1,Suroeste,2,Sí,111.68,19
352157,Male,26,1,Noreste,0,No,140.88,13
352158,Male,29,1,Centro,2,Sí,145.45,3
352159,Female,22,1,Noreste,1,No,184.25,22
352160,Male,36,1,Centro,4,Sí,217.34,16
352161,Male,23,1,Norte,0,No,255.22,8
352162,Male,40,1,Noreste,3,Sí,30,3
352163,Male,37,1,Suroeste,4,No,275.32,8
352164,Male,58,1,Centro,4,Sí,243.7,11
352165,Male,49,1,Noreste,2,Sí,30,5
352166,Male,63,1,Noreste,2,No,193.56,20
352167,Male,38,1,Centro,4,Sí,210.38,2
352168,Female,43,1,Suroeste,3,Sí,173.89,14
352169,Male,36,1,Noreste,4,Sí,143.83,4
352170,Female,26,1,Suroeste,1,No,152.76,6
352171,Male,40,1,Suroeste,4,Sí,124.66,23
352172,Female,74,1,Centro,2,Sí,126.47,17
352173,Male,56,1,Noreste,4,No,147.3,3
352174,Desconocido,Desconocido,1,Noreste,4,No,199.7,8
352175,Male,22,1,Suroeste,1,No,199.66,5
352176,Male,56,1,Suroeste,0,No,30,23
352177,Female,24,1,Suroeste,0,No,146.9,19
352178,Male,23,1,Suroeste,0,No,173.1,6
352179,Desconocido,Desconocido,1,Centro,9+,Sí,281.37,12
352180,Desconocido,Desconocido,1,Centro,4,Sí,151.25,4
352181,Male,72,1,Centro,2,No,190.26,20
352182,Female,25,1,Noreste,1,No,163.07,18
352183,Female,37,1,Centro,3,No,243.81,9
352184,Desconocido,Desconocido,1,Centro,4,Sí,252.95,25
352185,Male,24,1,Centro,0,Sí,137.2,8
352186,Female,45,1,Centro,3,Sí,299.07,5
352187,Male,21,1,Centro,1,No,195.17,19
352188,Male,50,1,Centro,4,Sí,30,22
352189,Male,26,1,Suroeste,0,No,187.47,2
352190,Male,23,1,Centro,0,Sí,369.94,23
352191,Desconocido,38,1,Noreste,4,No,178.64,10
352192,Male,28,1,Noreste,0,No,135.98,8
352193,Male,22,1,Norte,1,Sí,30,4
352194,Male,66,1,Centro,3,Sí,250.27,24
352195,Female,26,1,Suroeste,0,No,156.69,21
352196,Male,59,1,Norte,8,Sí,244.01,19
352197,Female,20,1,Centro,0,Sí,226.96,17
352198,Male,20,1,Noreste,0,Sí,179.71,21
352199,Male,54,1,Noreste,3,Sí,113.75,4
352200,Male,29,1,Norte,0,No,148.64,11
352201,Female,23,1,Norte,1,Sí,162.49,7
352202,Male,44,1,Norte,6,Sí,161.26,11
352203,Male,27,1,Norte,0,Sí,195.99,22
352204,Male,21,1,Centro,0,Sí,197.92,13
352205,Female,24,1,Noreste,1,Sí,30,12
352206,Female,24,1,Noreste,0,No,278.66,6
352207,Male,70,1,Noreste,2,Sí,273.62,13
352208,Female,33,1,Noreste,1,No,161.57,4
352209,Male,22,1,Noreste,0,No,150.51,7
352210,Male,59,1,Norte,2,Sí,202.02,5
352211,Female,51,1,Centro,3,Sí,253.09,25
352212,Male,46,1,Noreste,3,No,288.54,20
352213,Male,74,1,Centro,2,Sí,30,15
352214,Female,29,1,Centro,0,No,30,12
352215,Male,57,1,Norte,2,Sí,189.39,12
352216,Male,32,1,Noreste,1,No,147.61,8
352217,Male,29,1,Suroeste,1,No,161.89,21
352218,Male,28,1,Suroeste,1,No,133.85,7
352219,Male,50,1,Centro,2,Sí,202.23,14
352220,Male,23,1,Noreste,1,Sí,247.8,8
352221,Female,40,1,Suroeste,4,No,204.26,13
352222,Female,61,1,Norte,2,Sí,30,3
352223,Male,30,1,Noreste,0,No,202.41,13
352224,Desconocido,38,1,Suroeste,4,No,236.68,11
352225,Male,48,1,Centro,4,Sí,170.52,18
352226,Female,47,1,Centro,2,Sí,297.22,20
352227,Male,48,1,Centro,3,Sí,332.13,15
352228,Desconocido,Desconocido,1,Suroeste,1,No,193.37,2
352229,Male,26,1,Centro,1,No,275.58,8
352230,Desconocido,Desconocido,1,Noreste,4,Sí,210,13
352231,Male,32,1,Noreste,2,No,156.03,22
352232,Female,30,1,Noreste,0,No,304.96,5
352233,Female,26,1,Suroeste,0,Sí,130.29,3
352234,Female,32,1,Centro,0,No,198.96,12
352235,Female,33,1,Noreste,0,No,30,16
352236,Male,22,1,Norte,1,No,178.76,23
352237,Female,60,1,Centro,4,Sí,461.77,17
352238,Female,24,1,Norte,0,No,314.11,7
352239,Female,23,1,Suroeste,2,Sí,182.64,4
352240,Desconocido,31,1,Suroeste,1,No,146.56,6
352241,Male,51,1,Suroeste,4,Sí,30,24
352242,Female,27,1,Suroeste,1,Sí,144.52,6
352243,Male,43,1,Centro,3,Sí,214.44,2
352244,Male,50,1,Suroeste,2,Sí,133.71,17
352245,Male,44,1,Centro,4,Sí,294.55,18
352246,Male,22,1,Centro,0,Sí,30,24
352247,Male,63,1,Noreste,6,Sí,30,19
352248,Male,30,1,Centro,3,Sí,30,16
352249,Male,20,1,Norte,0,No,30,16
352250,Female,24,1,Norte,0,No,184.96,12
352251,Female,24,1,Suroeste,1,No,196.72,20
352252,Female,74,1,Noreste,2,No,292.72,13
352253,Female,28,1,Centro,0,No,180.91,10
352254,Male,65,1,Noreste,3,Sí,30,9
352255,Male,21,1,Centro,1,No,278.14,13
352256,Female,66,1,Norte,4,No,180.83,7
352257,Female,22,1,Suroeste,1,No,151.81,25
352258,Male,20,1,Suroeste,1,Sí,30,12
352259,Male,48,1,Centro,4,Sí,30,7
352260,Female,53,1,Suroeste,4,No,295.59,22
352261,Female,72,1,Noreste,3,No,289.49,8
352262,Male,46,1,Centro,2,No,189.78,5
352263,Male,50,1,Centro,5,Sí,398.17,13
352264,Male,31,1,Centro,2,No,160.72,13
352265,Male,53,1,Centro,4,No,247.24,10
352266,Male,44,1,Noreste,3,No,251.42,11
352267,Female,42,1,Noreste,4,Sí,30,20
352268,Male,40,1,Centro,2,Sí,152.71,17
352269,Female,25,1,Suroeste,0,No,158.69,20
352270,Female,23,1,Suroeste,1,No,134.72,18
352271,Male,42,1,Centro,3,Sí,30,20
352272,Female,21,1,Noreste,0,No,190.3,16
